CMA_NAME,CMA_CODE,CS_CODE,CTNAME,STATUS,MUNICIPALUNIT,POPULATION_2021
Toronto,35535,3520005,0250.02,Census Tract,Toronto,4958
Toronto,35535,3520005,0250.04,Census Tract,Toronto,5939
Toronto,35535,3520005,0250.05,Census Tract,Toronto,7031
Toronto,35535,3520005,0260.01,Census Tract,Toronto,6590
Toronto,35535,3520005,0260.04,Census Tract,Toronto,3879
Toronto,35535,3520005,0260.05,Census Tract,Toronto,4139
Toronto,35535,3520005,0260.06,Census Tract,Toronto,4354
Toronto,35535,3520005,0260.07,Census Tract,Toronto,3591
Toronto,35535,3520005,0261.00,Census Tract,Toronto,5547
Toronto,35535,3520005,0262.01,Census Tract,Toronto,5848
Toronto,35535,3520005,0262.02,Census Tract,Toronto,6252
Toronto,35535,3520005,0263.02,Census Tract,Toronto,3873
Toronto,35535,3520005,0263.03,Census Tract,Toronto,4635
Toronto,35535,3520005,0263.04,Census Tract,Toronto,6464
Toronto,35535,3520005,0264.00,Census Tract,Toronto,1260
Toronto,35535,3520005,0265.00,Census Tract,Toronto,5555
Toronto,35535,3520005,0266.00,Census Tract,Toronto,3094
Toronto,35535,3520005,0267.00,Census Tract,Toronto,6042
Toronto,35535,3520005,0268.00,Census Tract,Toronto,6458
Toronto,35535,3520005,0269.01,Census Tract,Toronto,5284
Toronto,35535,3520005,0269.02,Census Tract,Toronto,2562
Toronto,35535,3520005,0270.01,Census Tract,Toronto,4763
Toronto,35535,3520005,0270.02,Census Tract,Toronto,4263
Toronto,35535,3520005,0271.01,Census Tract,Toronto,2394
Toronto,35535,3520005,0271.02,Census Tract,Toronto,4724
Toronto,35535,3520005,0272.01,Census Tract,Toronto,5945
Toronto,35535,3520005,0272.02,Census Tract,Toronto,4623
Toronto,35535,3520005,0273.01,Census Tract,Toronto,3703
Toronto,35535,3520005,0273.02,Census Tract,Toronto,4032
Toronto,35535,3520005,0274.01,Census Tract,Toronto,4712
Toronto,35535,3520005,0274.02,Census Tract,Toronto,4558
Toronto,35535,3520005,0275.00,Census Tract,Toronto,5567
Toronto,35535,3520005,0276.01,Census Tract,Toronto,6317
Toronto,35535,3520005,0276.02,Census Tract,Toronto,6567
Toronto,35535,3520005,0277.00,Census Tract,Toronto,3925
Toronto,35535,3520005,0278.00,Census Tract,Toronto,7734
Toronto,35535,3520005,0279.01,Census Tract,Toronto,4135
Toronto,35535,3520005,0279.02,Census Tract,Toronto,6140
Toronto,35535,3520005,0280.00,Census Tract,Toronto,7217
Toronto,35535,3520005,0281.01,Census Tract,Toronto,6403
Toronto,35535,3520005,0281.02,Census Tract,Toronto,3921
Toronto,35535,3520005,0282.00,Census Tract,Toronto,4588
Toronto,35535,3520005,0283.01,Census Tract,Toronto,5153
Toronto,35535,3520005,0283.02,Census Tract,Toronto,4390
Toronto,35535,3520005,0284.00,Census Tract,Toronto,6762
Toronto,35535,3520005,0285.00,Census Tract,Toronto,3278
Toronto,35535,3520005,0286.00,Census Tract,Toronto,6768
Toronto,35535,3520005,0287.02,Census Tract,Toronto,6471
Toronto,35535,3520005,0287.03,Census Tract,Toronto,2699
Toronto,35535,3520005,0287.04,Census Tract,Toronto,4551
Toronto,35535,3520005,0288.00,Census Tract,Toronto,11027
Toronto,35535,3520005,0289.00,Census Tract,Toronto,4885
Toronto,35535,3520005,0290.01,Census Tract,Toronto,3748
Toronto,35535,3520005,0290.02,Census Tract,Toronto,1652
Toronto,35535,3520005,0291.02,Census Tract,Toronto,4881
Toronto,35535,3520005,0291.03,Census Tract,Toronto,2721
Toronto,35535,3520005,0291.04,Census Tract,Toronto,1572
Toronto,35535,3520005,0292.00,Census Tract,Toronto,8580
Toronto,35535,3520005,0293.00,Census Tract,Toronto,6808
Toronto,35535,3520005,0294.01,Census Tract,Toronto,4177
Toronto,35535,3520005,0294.02,Census Tract,Toronto,4449
Toronto,35535,3520005,0295.00,Census Tract,Toronto,5481
Toronto,35535,3520005,0296.00,Census Tract,Toronto,1744
Toronto,35535,3520005,0297.01,Census Tract,Toronto,7239
Toronto,35535,3520005,0297.02,Census Tract,Toronto,6646
Toronto,35535,3520005,0298.00,Census Tract,Toronto,4561
Toronto,35535,3520005,0299.01,Census Tract,Toronto,6289
Toronto,35535,3520005,0299.02,Census Tract,Toronto,5130
Toronto,35535,3520005,0300.01,Census Tract,Toronto,3850
Toronto,35535,3520005,0300.02,Census Tract,Toronto,7505
Toronto,35535,3520005,0300.03,Census Tract,Toronto,2448
Toronto,35535,3520005,0301.01,Census Tract,Toronto,2863
Toronto,35535,3520005,0301.03,Census Tract,Toronto,8324
Toronto,35535,3520005,0301.04,Census Tract,Toronto,8766
Toronto,35535,3520005,0302.01,Census Tract,Toronto,6114
Toronto,35535,3520005,0302.02,Census Tract,Toronto,5867
Toronto,35535,3520005,0302.03,Census Tract,Toronto,3267
Toronto,35535,3520005,0303.00,Census Tract,Toronto,6080
Toronto,35535,3520005,0304.01,Census Tract,Toronto,4404
Toronto,35535,3520005,0304.02,Census Tract,Toronto,4595
Toronto,35535,3520005,0304.03,Census Tract,Toronto,2484
Toronto,35535,3520005,0304.04,Census Tract,Toronto,3482
Toronto,35535,3520005,0304.05,Census Tract,Toronto,2686
Toronto,35535,3520005,0304.06,Census Tract,Toronto,5725
Toronto,35535,3520005,0305.01,Census Tract,Toronto,4421
Toronto,35535,3520005,0305.03,Census Tract,Toronto,4766
Toronto,35535,3520005,0305.05,Census Tract,Toronto,6580
Toronto,35535,3520005,0305.06,Census Tract,Toronto,4366
Toronto,35535,3520005,0306.01,Census Tract,Toronto,4612
Toronto,35535,3520005,0306.02,Census Tract,Toronto,4686
Toronto,35535,3520005,0307.03,Census Tract,Toronto,4957
Toronto,35535,3520005,0307.04,Census Tract,Toronto,6919
Toronto,35535,3520005,0307.05,Census Tract,Toronto,3365
Toronto,35535,3520005,0307.06,Census Tract,Toronto,5057
Toronto,35535,3520005,0307.07,Census Tract,Toronto,6216
Toronto,35535,3520005,0308.02,Census Tract,Toronto,4327
Toronto,35535,3520005,0308.03,Census Tract,Toronto,1115
Toronto,35535,3520005,0308.05,Census Tract,Toronto,2386
Toronto,35535,3520005,0308.06,Census Tract,Toronto,5585
Toronto,35535,3520005,0308.07,Census Tract,Toronto,3797
Toronto,35535,3520005,0309.00,Census Tract,Toronto,6361
Toronto,35535,3520005,0310.01,Census Tract,Toronto,3609
Toronto,35535,3520005,0310.02,Census Tract,Toronto,5328
Toronto,35535,3520005,0311.02,Census Tract,Toronto,6010
Toronto,35535,3520005,0311.03,Census Tract,Toronto,2672
Toronto,35535,3520005,0311.04,Census Tract,Toronto,6517
Toronto,35535,3520005,0311.05,Census Tract,Toronto,6698
Toronto,35535,3520005,0311.06,Census Tract,Toronto,6660
Toronto,35535,3520005,0312.02,Census Tract,Toronto,3505
Toronto,35535,3520005,0312.03,Census Tract,Toronto,6374
Toronto,35535,3520005,0312.04,Census Tract,Toronto,5234
Toronto,35535,3520005,0312.05,Census Tract,Toronto,3685
Toronto,35535,3520005,0312.06,Census Tract,Toronto,3415
Toronto,35535,3520005,0312.07,Census Tract,Toronto,3535
Toronto,35535,3520005,0313.00,Census Tract,Toronto,5554
Toronto,35535,3520005,0314.01,Census Tract,Toronto,6275
Toronto,35535,3520005,0314.02,Census Tract,Toronto,5130
Toronto,35535,3520005,0315.01,Census Tract,Toronto,3267
Toronto,35535,3520005,0315.02,Census Tract,Toronto,3365
Toronto,35535,3520005,0315.03,Census Tract,Toronto,5562
Toronto,35535,3520005,0316.01,Census Tract,Toronto,3970
Toronto,35535,3520005,0316.03,Census Tract,Toronto,5761
Toronto,35535,3520005,0316.04,Census Tract,Toronto,4105
Toronto,35535,3520005,0316.05,Census Tract,Toronto,4104
Toronto,35535,3520005,0316.06,Census Tract,Toronto,3367
Toronto,35535,3520005,0317.02,Census Tract,Toronto,7242
Toronto,35535,3520005,0317.03,Census Tract,Toronto,3531
Toronto,35535,3520005,0317.04,Census Tract,Toronto,6731
Toronto,35535,3520005,0317.05,Census Tract,Toronto,2162
Toronto,35535,3520005,0318.01,Census Tract,Toronto,4762
